,sustainability_score,company,Environment_Category 0,Environment_Category 1,Environment_Category 2,Environment_Category 3,Environment_Category 4,Environment_Category 5,Governance_Category 0,Governance_Category 1,Governance_Category 2,Governance_Category 3,Governance_Category 4,Governance_Category 5,Social_Category 0,Social_Category 1,Social_Category 2,Social_Category 3,Social_Category 4,Social_Category 5
54,50.62989637,Albemarle Corp,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
55,58.17429499,Alfa Laval AB (publ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
56,5.994671077,Alibaba Group Holding Limited,0,0,0,0,0,0,0,0,4,0,0,0,0,1,7,0,0,0
57,10.80304728,Alkermes PLC,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
58,5.919046282,Allergan PLC,0,0,0,0,0,0,0,5,5,0,0,0,1,1,0,62,0,0
59,14.02247483,Alliance Global Group Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
60,22.68109206,Alliant Energy Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,86.95656091,Allianz SE,0,7,0,0,0,0,0,5,0,0,0,0,0,5,23,0,0,0
62,45.71114837,Allstate Corp,0,2,0,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0
63,8.194578762,Ally Financial Inc.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
64,16.29176013,Alpha Bank A.E.,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
65,35.58457795,Alphabet Inc,0,0,0,0,0,0,0,1,3,16,0,0,1,0,15,59,14,0
66,66.81295894,Alstom SA,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,0
67,8.262697117,AltaGas Ltd.,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,11.57583879,Altria Group Inc.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,22,0,0
69,23.51462835,Amazon.com Inc,0,3,1,0,0,0,0,5,13,11,0,0,0,2,52,210,0,0
70,13.81589126,Ambev SA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
71,76.36818265,Ambuja Cements Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
72,37.37911229,Ameren Corporation,1,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
73,26.47760367,American Airlines Group Inc,0,0,0,0,0,0,0,1,0,0,0,0,0,2,60,0,0,0
